제목,주최,마감일,분야,링크,내용
📢[정보보호학과] '미래를 위한 보안' 스토리 공모전,세종사이버대학교 정보보호학과,D-37,"IT/소프트웨어/게임, 기타",https://www.campuspick.com/contest/view?id=29689,"■ 공모전 명: ‘미래를 위한 보안’ 스토리 공모전

■ 대상: 제한없음

■ 주최 : 세종사이버대학교 정보보호학과

■ 공모전 주제

보안의 환경 변화, 기술 변화, 보안 위협에 대한 대응 방안 등 다양한 주제와 다양한 형식으로 자유롭게 제시

-> 미래 ICT 기술의 올바른 방향에 대한 아이디어 또는 영상

-> 보안의 올바른 방향과 관련한 아이디어 또는 영상

-> AI를 활용한 보안 관련 스토리

-> AI를 활용해서 만든 미래 보안 환경 및 보안 기술 방향에 대한 스토리 또는 영상

(AI 기술 활용은 필수사항은 아닙니다.)

■ 응모방법

해당 설문으로 제출

(제출되는 파일명은 제출물 제목으로 통일)

■ 공모전 일정

공고 및 접수 : 2025.06.16.(월) ~ 10.31.(금)

심사 및 결과 : 2025.11.12.(수) ~ 11.13.(금)

시상식 일정 : 2025.11.21.(금)

■시상 내역

최우수상(1팀) - 50만원

우수상(2팀) - 20만원

장려상(3팀) - 10만원

참가상 - 커피쿠폰

■ 개인 및 팀(3인 이하) 참여 모두 가능, 최대 세 작품까지 응모 가능

■ 상세 내용

* 동의서를 제출한 경우에 심사가 진행될 수 있습니다.

* 시상식은 상황에 따라 오프라인 또는 온라인으로 진행될 수 있으며, 일정이 변동될 수 있습니다.

* 시상자의 경우 시상식에 반드시 참여해야합니다.

* 상위 대상자가 없을 경우, 예산 범위 내에서 하위 대상자 수를 늘려 시상할 수 있으며, 심사 결과 시상하지 않을 수 있습니다.

* 커피 쿠폰의 경우, 물품이 변경될 수 있으며, 예산 소진 시까지 접수 순서를 기준으로 지급합니다.



■ 문의 : 세종사이버대학교 IT학부 sjcuit@sjcu.ac.kr / 02-2204-8075"
아동·청소년 불법도박문제 예방 및 근절을 위한 빼도박클라쓰 공모전,굿네이버스,D-37,"사진/영상/UCC, 문학/수기/시나리오",https://www.campuspick.com/contest/view?id=29287,"아동·청소년 불법도박문제 예방 및 근절을 위한 빼도박클라쓰 공모전

■ 공모 주제
- 아동·청소년 도박 문제 해결을 위한 예방 및 근절 방안
- 도박 대신 빠진 OO: 몰입한 취미, 나를 지켜준 루틴, 도박 없이 집중했던 순간 등을 자유롭게 표현

■ 공모 분야
시 / 숏폼 영상

■ 지원 자격
전국 초·중·고등학생 및 동일연령 청소년

■ 참여 방법
① 시 부문
- 제목과 함께 100자 이내의 짧은 시 형식으로 작성
- 공모전 접수 페이지에 제출

② 숏폼 영상 부문
- 60초 미만의 영상 제작
- 필수 해시태그(#굿네이버스 #빼도박클라쓰 #도박문제예방) 포함하여 본인 SNS채널에 게재하고, 해당 URL 제출 접수
🔗 공모전 접수 링크 https://www.goodneighbors.kr/cmmn/url/class_contest_quick.gn

■ 공모전 일정
접수기간: 2025.5.12.(월) ~ 2025.10.31.(금)
작품심사: 2025.11.1.(토) ~ 2025.11.7.(금)
결과발표: 2025.11월 중 (수상자 개별 연락 예정)

■ 시상 내역
① 대상 (전체참여자 중 시/영상 부문 각 1명)
- 시상금 100만 원
② 우수상 (초등부 1명, 청소년부 1명)
- 시상금 각 50만 원
③ 장려상 (초등부 1명, 청소년부 1명)
- 시상금 각 30만 원
* 대상은 초등부와 청소년부를 통합하여 분야별 1명만 수상
* 각 분야(시/숏폼 영상)별로 동일하게 시상하며, 총 수상자는 부문별 1인(또는 팀) 기준으로 선정

■ 유의 사항
- 모든 분야에 중복 지원 가능하나, 동일 분야에서는 1인(또는 팀) 1작품만 출품 가능
- 응모한 작품 수 또는 심사 수준에 미달할 경우, 당선작 전체 혹은 일부를 선정하지 않을 수 있음

■ 문의사항
공모전 운영사무국 :bbadobak@gmail.com"
제9회 개방형 클라우드 플랫폼(K-PaaS) 활용 공모전(~10/31),과학기술정보통신부,D-37,"기획/아이디어, IT/소프트웨어/게임",https://www.campuspick.com/contest/view?id=28682,"제9회 개방형 클라우드 플랫폼(K-PaaS) 활용 공모전(~10/31)

■ 공모부문
1. 서비스 개발 : K-PaaS를 활용하여 개발·배포·시연 가능한 완성도 높은 클라우드 네이티브 기반 응용서비스 개발
2. 아이디어 기획 : K-PaaS 환경에서 개발·구현 가능하며 상품화, 서비서화, 창업할 수 있는 창의적인 서비스 아이디어 기획
*서비스 개발 부문과 아이디어 부문 동일 내용으로 동시 참가 불가
3. 공공부문 구축ㆍ활용사례 : K-PaaS를 활용해 정보시스템을 구축ㆍ운영 중인 중앙행정기관, 지자체, 공공기관의 우수사례 발굴


■ 참가대상
1. 서비스 개발 & 아이디어기획 : 학생·개인(예비창업자) 등5명 이내 팀
2. 공공부문 구축ㆍ활용사례 : K-PaaS 구축ㆍ활용 관련 중앙행정기관, 지자체, 공공기관


■ 신청방법
1. 서비스개발 & 아이디어 기획
공모전 홈페이지(contest.k-paas.org)를 통한 온라인 접수 후
작품제출 양식 작성 후 이메일(contest@k-paas.or.kr) 제출

2. 공공부문 구축ㆍ활용 사례
신청서 양식 작성 후 이메일(contest@k-paas.or.kr)제출
*서비스 개발&아이디어 기획 부문 작품제출 양식과 공공부문 구축ㆍ활용 사례
신청서 양식은 공모전 홈페이지에서 다운로드

※ 공모전 상세 추진 일정과 세부사항은 공모전 홈페이지 참고

■ 공모전 세부사항
- 참가신청 : 참가신청 및 행사 안내용 사이트 운영 (http://contest.k-paas.org)
참가팀 기본 정보 입력
(2025년 3월 24일 ~ 10월 31일, 온라인)
*6월까지 사전 신청한 서비스 개발 공모팀에 한정하여 교육&멘토링 지원
(아이디어 공모는 해당없음)

- 교육지원 : K-PaaS 활용(2주), MSA 활용(2주), CSP 환경 이용 가이드 등 온라인 교육 예정 (6월 예정)
*서비스 개발 부문 참가팀 대상

- 멘 토 링 : 서비스 개발 공모팀을 대상으로 개발 기획서 작성 및
클라우드 네이티브 기반의 서비스 개발을 위한 가이드 지도·조언 (8~10월 예정)

- 작품제출 : 2025년 10월 31일까지 공모 부문별 작품 제출
*공모전 대표메일(contest@k-paas.or.kr)로 제출, 양식은 공모전 사이트에서 다운로드
① 서비스 개발 부문 : 개발 상세 내용과 개발 서비스 URL을 포함한 신청서
② 아이디어 기획 부문 : 아이디어 상세 내용을 포함한 신청서
※ 본선진출팀의 경우 발표 자료(PPT, PDF 등) 및 시연 영상을 추가 제출 필요 (~11/18)

- 예선심사 : 사전 심사를 통해 본선 진출 12팀 선정
(2025년 11월 5~6일, 서면심사)
*서비스 개발 부문 10팀, 아이디어 2팀

- 본선·시상 : 본선 진출팀의 발표·시연을 전문 심사위원 및 참가자 평가
2025년 11월 19일(목)(예정), NIA 서울사무소 B1 회의실(예정)
※ 시상은 'Open Cloud Platform PUB 2025' 행사(12월)에서 진행 예정


■ 시상계획
- 14점(상금 3,000만원, 크레딧 600만원 규모)

< 서비스 개발 부문>
- 금상 : 과학기술정보통신부장관상 / 1 / 500만원
- 은상 : 한국지능정보사회진흥원장상 / 1 / 400만원
- 동상
* OPA의장상 / 1 / 300만원
* 숭실대학교총장상 / 1 / 300만원
- 특별상
* 네이버클라우드상 / 1 / 200만원
부상(크레딧) : 200만원(NCP)
* 엔에이치엔클라우드상 / 1 / 200만원
부상(크레딧) : 200만원(NHN)
* 케이티클라우드상 / 1 / 200만원
부상(크레딧) : 200만원(KT)
* CCCR이사장상 / 1 / 200만원
* KACI협회장상 / 1 / 200만원
* OPDC이사장상 / 1 / 200만원
*서비스 개발 수상작 중 일부 대상 클라우드 환경 이용 가능한 크레딧 제공

<아이디어 부문>
- 최우수상 : 과학기술정보통신부장관상 / 1 / 200만원
- 우수상 : 한국지능정보사회진흥원장상 / 1 / 100만원

<공공부문 활용 우수사례 부문>
- 최우수상 / 과학기술정보통신부장관상 / 1 / - / -
- 우수상 / 한국지능정보사회진흥원장상 / 1 / - / -

■ 문의처
개방형 클라우드 플랫폼 센터
T. 02-6372-5001/ E. contest@k-paas.or.kr

주최 : 과학기술정보통신부
주관 : 한국지능정보사회진흥원
후원 : NAVER CLOUD, KT CLOUD, NHN CLOUD, OPA, KACI, CCCR, OPDC, 숭실대학교스파르탄SW교육원"
LG전자 앰버서더 3기 모집,LG전자,마감,광고/마케팅,https://www.campuspick.com/contest/view?id=31014,"개요: LG전자를 좋아하고 응원하는 고객들이 모여 '더 나은 삶'에 대한 경험을 매력적인 영상 콘텐츠로 제작하고 연결하는 사람들인 'LG전자 앰버서더' 3기 모집을 시작합니다.

모집 일정: 2025.09.02(화) ~ 2025.09.21(일)
활동 기간: 2025.09.27(토) ~ 2025.12.13(토)
혜택:
- 활동비 최대 225만원 상당 혜택
- 우수자 최대 1,500만 상당 LGE.COM 포인트
- TOP 크리에이터 멘토링
- 크리에이터 파티"
2025 KAC 창업 아이디어톤 참가자 모집,한국공항공사,마감,"기획/아이디어, 기타",https://www.campuspick.com/contest/view?id=30967,"한국공항공사와 함께하는 창업 아이디어톤 참가자 모집



무안(전남) 지역 문제를 비즈니스로 해결하는 실전 창업 프로그램!

대도시가 아니어도, 내가 살고 있는 지역에서 '하고 싶은 일'을 현실로 만들어갈 대학생을 모집합니다.



■ 지원 자격

- 대학생(재·휴학생, 졸업예정자) 중 아래 조건 중 하나 이상 해당

· 무안 소재 대학

· 전남권 소재 대학

· 무안군 주소지 대학생



■ 모집 대상

- 무안(전남)지역 문제 해결에 관심 있는 대학생 또는 휴학생으로 구성된 예비 창업(가)/팀 (총 50명 내외)



■ 모집 기간

~ 2025년 9월 11일 목요일 오후 11시 59분까지



■ 지원 방법

- QR 코드

- 신청링크 : https://app.catchsecu.com/projects/b9ac396af9e2937/form



■ 활동 내용

- AI 창업 방법론 중심 지역 문제해결형 창업과정 제공

- 창업방법론 워크숍. 갤러리 워크 사업계획서 작성, IR피칭 및 시상

- 후속지원으로 1:1창업 코칭, VOD 교육 콘텐츠, AI 창업 트렌드 뉴스레터 제공



■ 참여 혜택

① 사전교육 참여자

· AI 창업 방법론 바탕 지역문제 해결형 창업교육 제공

② 창업 아이디어톤 참여자

· 1:1 창업코칭 & 전문가 피드백

· 창업교육 VOD & AI 트렌드 뉴스

· 참가자 전원 장학금 지급(10만원)

· 우수팀 상금 지급 (총 370만원)



■ 문의 사항

- Dooyoungoh@udimpact.ai"
제1회 올담 데이터 활용 해커톤 대회,충청남도,마감,기획/아이디어,https://www.campuspick.com/contest/view?id=30961,"❍ 사 업 명: 제1회「올담」데이터활용 해커톤 대회
❍ 주최/주관: 충청남도, (재)충남창조경제혁신센터
❍ 신청기간: ~9.11.(목) 18:00까지
❍ 제안주제: 충남 데이터포털「올담」의 공공데이터를 활용하여 분야의 제약 없이 사회 문제 해결을 위한 구체적인 아이디어 기획
* 실제 제품이 아닌 아이디어 단계로 양식에 자유롭게 작성
❍ 참가자격:충남 소재 대학 재학생(개인 또는 팀)
❍ 지원내용: 우수 아이디어 3개 시상(충청남도 도지사상) 및 상금 지원
- 대상: 1,000,000원, 최우수상: 600,000원, 우수상: 400,000원
❍ 선발절차: 서류평가(1차)-발표평가(2차)-최종선정
❍ 문 의 처: 충남창조경제혁신센터 혁신창업실(041-589-7144)"
제27회 가천효행대상 공모 (총 장학금 1억원),재단법인 가천문화재단,마감,문학/수기/시나리오,https://www.campuspick.com/contest/view?id=30949,"[가천문화재단] 제27회 가천효행대상 공모 (총 장학금 1억원)



(재)가천문화재단은 인륜의 기본이 되며 우리 전통문화의 핵심이 되는 아름다운 효 정신을 전 국민에게 선양하기 위해, 진정어린 효를 실천하는 청소년과 효부를 선발하여 효행상을 수여합니다. 또한 효 문화 장려와 실천을 위한 교육에 힘쓰고 있는 교육인과 다문화가정을 돕고 있는 단체를 발굴, 시상하여 그 숭고한 의지를 격려합니다. 이에 우리 사회에 표상으로 삼을 수 있는 참된 수상자가 선정될 수 있도록 다음과 같이 공모하오니, 많은 관심과 성원을 부탁드립니다.


1. 행사 : 제27회 가천효행대상
2. 시상 : 가천효행상, 다문화효부상, 다문화도우미상, 효행교육상 / 4개 부문, 17명(예정)
3. 접수 : 가천문화재단 홈페이지(http://www.gachon.or.kr/) 또는 우편
4. 기간 : 8월 27일(수) ~ 9월 17일(수)
5. 장학금 : 각 부문 대상 1,000만원 / 본상 500만원 / 특별상 300만원 등 총 장학금 약 1억원
6. 후원 : 교육부, 문화체육관광부, 법무부, 보건복지부, 인천광역시, 한국교원단체총연합회, 한국문화원연합회, 한국청소년단체협의회, 가천대길병원, 가천대학교(이상 무순)
7. 문의 : 가천문화재단 / 032) 833-4167~8


*상세한 공모요강은 가천문화재단 홈페이지에서 확인할 수 있습니다.
http://www.gachon.or.kr/



------------------------------------------------------------------------------------------------------------------------
↓긴 버전↓
------------------------------------------------------------------------------------------------------------------------

제27회 가천효행대상 공모 (총 장학금 1억원)


(재)가천문화재단은 인륜의 기본이 되며 우리 전통문화의 핵심이 되는 아름다운 효 정신을 전 국민에게 선양하기 위해, 진정어린 효를 실천하는 청소년과 효부를 선발하여 효행상을 수여합니다. 또한 효 문화 장려와 실천을 위한 교육에 힘쓰고 있는 교육인과 다문화가정을 돕고 있는 단체를 발굴, 시상하여 그 숭고한 의지를 격려합니다. 이에 우리 사회에 표상으로 삼을 수 있는 참된 수상자가 선정될 수 있도록 다음과 같이 공모하오니, 많은 관심과 성원을 부탁드립니다. (※ 부모님의 장애 여부나 지역 등과 무관하게 시상합니다.)



■ 1. 시상 부문 (시상 명칭 및 수상인원, 장학금 등은 변동 가능)

* 가천효행상 : 10명 ※남·여학생 각각 선정
○ 대 상 (2명) -------------- 장학금 각 1천만원 (부상 및 특전)
○ 본 상 (4명) -------------- 장학금 각 5백만원 (부상 및 특전)
○ 특 별 상 (4명) -------------- 장학금 각 3백만원 (부상 및 특전)
* 다문화효부상 : 3명
○ 대 상 (1명) -------------- 상 금 1천만원 (부상 및 특전)
○ 본 상 (2명) -------------- 상 금 각 5백만원 (부상 및 특전)

* 다문화도우미상 : 2개 단체
○ 대 상 (1팀) -------------- 상 금 1천만원
○ 특 별 상 (1팀) -------------- 상 금 3백만원

* 효행교육상 : 2명(학교, 교사)
○ 학교 (1팀) ------------------- 상 금 1천만원
○ 교사 (1명) ------------------- 상 금 5백만원


■ 수상자 및 수상자 배출기관 특전

[가천효행상 및 다문화효부상 수상자 특전]
① 가천대길병원 입원시 진료비 할인(평생, 본인부담액에서 10% 경감)
② 무료 종합건강검진권(총 100만원 상당, 2장) 수여

[수상자 배출기관]
① 교육기자재 및 홍보비 지원

■ 공모 자격 / 대상

* 가천효행상
① 만11～24세의 각급 학교(유사학교 포함) 재학 중인 학생
② 부모님과 웃어른을 공경하며 평소 효와 예를 실천해 온 학생
③ 일상에서 가정의 행복을 위해 노력하는 학생
④ 품행이 단정하고 솔선수범하여 다른 학생들의 모범이 되는 학생

* 다문화효부상
① 결혼 후 대한민국 국적을 취득한 이주여성
* 대한민국 국적 미취득 시 별도 문의
② 지극한 효심으로 시부모님을 정성껏 모셔 온 이주여성
③ 건강하고 화목한 가정을 이루는데 타의 귀감이 되는 이주여성
④ 연령, 출신 국가 제한 없음

* 다문화도우미상
① 다문화가정의 안정과 행복을 위해 물심양면 힘써온 단체
② 이주민의 정착을 돕고 구성원으로서 참여할 수 있도록 지원해 온 단체
③ 다문화에 대한 이해증진과 건강한 다문화사회 형성을 위해 노력하는 단체

* 효행교육상
① 효 문화를 보전하고 전파하는데 앞장서 온 학교 또는 교사
② 효 실천을 위해 지속적으로 학생들을 지도해온 학교 또는 교사
③ 효 문화 관련 정보수집, 인프라 조성, 홍보, 콘텐츠 개발을 주도하며 시스템과 교육 체계를 구축해 온 학교 또는 교사


■ 공모 접수

○ 접수기한 : 2025년 8월 27일(수) ～ 9월 17일(수)
○ 접수방법 : 인터넷 또는 우편 이용
- 인터넷 접수
가천문화재단 홈페이지(www.gachon.or.kr) 내 ‘신청/접수’ 이용
- 우편접수
우) 21942 / 인천광역시 연수구 청량로 102번길 40-9, 가천문화재단
가천효행대상 운영위원회

■ 후원 : 교육부, 문화체육관광부, 법무부, 보건복지부, 인천광역시, 한국교원단체총연합회, 한국문화원연합회, 한국청소년단체협의회, 가천대길병원, 가천대학교(이상 무순)


■ 문의 : 가천문화재단 사무국 032) 833-4167~8"
[연장]2025 KSPO 숏폼공모전 함께 스포츠 챌린지! 우리의 PLAY,문화체육관광부,마감,사진/영상/UCC,https://www.campuspick.com/contest/view?id=30943,"✨ 스포츠 문화를 장려할 수 있는 숏폼 영상을 공모합니다.
전문적인 운동 뿐만 아니라 산책, 줄넘기, 동네 농구, 회사 체육대회 등
모든 활동이 스포츠가 됩니다. 🤸‍♀️🚴‍♂️🏀

📢 공모 주제 : 함께하는 스포츠, 하나되는 스포츠, 2인 이상 함께하는 모든 스포츠 관련 영상

✅주최 : 문화체육관광부 / 주관 : 서울올림픽기념국민체육진흥공단

🗓️ 공모 기간 :
~ 2025년 9월 15일(월) 24시까지

✔️ 응모 자격 :
대한민국 국민과 거주하는 외국인 누구나(개인 또는 팀으로 지원 가능)

🎬 제출 형식 :
SNS 숏폼 업로드 (YouTube Shorts, Instagram Reels, TikTok 중 택1) 후
본인 채널 URL을 KSPO 숏폼 공모전 홈페이지 (www.ksposhorts.com)에 제출

*1인당 여러개 작품 동시 응모 가능

💰 총 상금 2,260만원!
학생부와 일반부로 나뉘어 시상하며, 문화체육관광부 장관상부터 네이버 포인트까지
다양한 상금이 준비되어 있습니다.

🏆 시상식 : 10월 15일

지금 바로 당신의 열정적인 스포츠 플레이를 영상으로 담아 '함께 스포츠 챌린지'에 참여하세요!

문의:
02-6954-1766 | contest@intw.co.kr"
2025동성로타임워프페스타 동성로!토요일은즐거워! 가요제신청,대구광역시 중구,마감,"예체능, 기타",https://www.campuspick.com/contest/view?id=30912,"✨[2025 동성로 타임워프 페스타]✨
동성로! 토요일은 즐거워!
📅 9월 20일(토) 17:00 ~ 20:00
📍 대구 중구 동성로 특설무대

총상금 ✨200만원!✨ 🎶🕺
당신의 추억과 설렘을 다시 불러올
“동성로! 토요일은 즐거워!” 신청 안내입니다!

📌지원 자격
내. 외국인 누구나가능! (개인 및 팀)

📌장르 및 컨셉
90, 00년대! (노래,춤,트로트 무엇이든 가능합니다!)

📌신청 방법
QR코드 or DM
https://forms.gle/b8mnL7hYi6VCvzWc7

📌 자세한 일정과 안내는
👉 @dongseongno_timewarpfesta
에서 지금 바로 확인해보세요!"
"보훈, 기억을 잇는 감동사연 공모전",한국보훈복지의료공단,마감,문학/수기/시나리오,https://www.campuspick.com/contest/view?id=30910,"제목 : [공모전] 보훈, 기억을 잇는 감동사연 공모전 개최


안녕하세요.
국가유공자와 보훈가족의 든든한 동반자,
한국보훈복지의료공단입니다.

한국보훈복지의료공단은
국가를 위해 헌신하신 분들의 명예와 건강을
지키는 일을 최우선으로 삼고 있습니다.
뿐만 아니라 지역사회와 함께하는 공공의료·복지 서비스를 통해
모두가 건강하고 따뜻한 삶을 살아갈 수 있도록 힘쓰고 있는데요.

그 중심에는 바로 보훈병원과 보훈요양원이 있습니다.
이곳은 국가유공자와 그 가족분들의 몸과 마음을 돌보는 공간으로,
지금 이 순간에도 수많은 이야기가 만들어지고 있습니다.

혹시 여러분도 이곳에서 특별한 순간을 경험하신 적이 있나요?
감동적인 이야기, 따뜻한 기억이 있다면
이번 공모전을 통해 함께 나눠 주세요.


※ 포스터 크게 넣어주세요.


“
🎁보훈, 기억을 잇는
감동사연 공모전 🎁
“


📅공모 일정 📅
☞ 접수 기간: 2025년 9월 1일(월) ~ 9월 21일(일), 총 21일간
☞ 수상자 발표: 2025년 10월 22일(수) 예정
※ 발표 채널: 공단 블로그, 인스타그램,
페이스북, 카카오톡 채널, 유튜브 커뮤니티


☑ 참여 대상 ☑
국민 누구나 (연령·지역 제한 없음)

☑ 공모 주제 ☑
보훈병원과 보훈요양원에서 경험한
감동적인 이야기 (글자 수 1,000자 내외)

☑ 응모 방법 ☑
구글폼을 통한 온라인 접수
👉 폼 링크 ： https://bit.ly/45x1tGh


☑ 심사 기준 ☑

진정성
경험의 사실성과 진심 전달력
창의성
이야기 전달 방식이나 시선의 독창성
표현력
글의 구성, 문장의 흐름과 표현력
공감성
독자에게 감동과 공감을 주는 정도
적합성
보훈병원 · 보훈요양원에서의 감사 경험과의 연관성


🥇시상 내역 🥇
* 총 43명

대 상
신세계 상품권 100만 원 (1명)
금 상
올리브영 10만 원 기프티콘 1매 (2명)
은 상
투썸플레이스 커피 1잔 기프티콘 1매 (40명)


☑ 문의 ☑
한국보훈복지의료공단 공모전 운영사무실
☎ 02-6233-4790

📌유의사항 📌
※ 응모작은 본인의 실제 경험을 바탕으로 작성해야 하며, 허위 사실이나 타인의 경험을 도용한 경우 심사에서 제외되거나 수상이 취소될 수 있음
※ 수상작은 공단 온, 오프라인 행사 시 활용 및 sns 게시, 홍보물 제작‧홍보 등에 사용됨
※ 응모작은 기존에 발표되지 않은 순수 창작물이어야 하며, 표절이나 유사 사례가 확인될 경우 심사 제외 및 수상 취소 등의 불이익이 발생할 수 있음
※ 1인당 최대 1편까지만 응모할 수 있으며, 중복 응모 시 가장 마지막에 제출한 작품만 인정
※ 접수 마감일 이후에는 응모작 수정이나 교체가 불가하므로, 제출 전 내용을 반드시 확인 필요

--------------
보훈병원과 보훈요양원에서 경험한
감동적인 사연을 들려주세요.

작은 이야기 하나가 누군가에겐 큰 위로와 울림이 됩니다.
여러분의 소중한 사연, 지금 바로 응모해 주세요!
---------------

#한국보훈복지의료공단 #보훈공단 #국가유공자 #보훈가족 #감동사연공모전 #감동사연 #사연공모전 #공모전 #보훈병원 #보훈요양원 #경품 #참여 #100만원경품 #신세계상품권"
2025년 직무능력은행 활용 우수사례 공모전,한국산업인력공단,마감,"기획/아이디어, 기타",https://www.campuspick.com/contest/view?id=30899,"2025년 직무능력은행 활용 우수사례 공모전

■ 공모 주제: 직무능력은행을 통해 직무능력 향상, 취업, 채용 등에 효과적으로 활용한 사례

■ 지원 자격: 개인 및 단체부문으로 구분하여 접수
- (개인) 취업, 이·전직, 자기개발 등에 직무능력은행을 효과적으로 활용한 경험이 있는 개인
- (단체) 채용, 인사관리, 업무 등에 직무능력은행을 효과적으로 이용한 단체*
* 교육기관, 공공기관, 훈련기관, 기업, 협회 등

■ 모집 기간: 2025. 8. 4.(월) ~2025. 9. 7.(일)

■ 지원 방법: 직무능력은행의 공지사항에 공고문을 참고하여 참가신청서 및 지원서를 전자우편(ncs@hrdkroea.or.kr)로 제출

■ 제출 서류: 참가신청서(1매), 지원 자격에 따른 우수사례 작성양식 1부(A4 2매~4매)*
* 서식은 공고문 참조

■ 공모전 시상내역: 총 15점(고용노동부 장관상 2점, 한국산업인력공단 이사장상 13점) / 상금 480만원 규모

■ 문의 사항
- (전자우편) ncs@hrdkorea.or.kr
- (유선) 052-714-8776"
2025 ICT 표준 챌린지 공모,한국정보통신기술협회,마감,"기획/아이디어, 사진/영상/UCC",https://www.campuspick.com/contest/view?id=30888,"2025 ICT 표준 챌린지 공모전

● 참가 자격
- 만 19세 이상(접수마감일 기준) 대한민국 국민 누구나 개인 또는 팀(3인 이내)

● 공모 분야
- ICT 표준 활용 사례 소개 콘텐츠(영상) 또는 신규 ICT 표준 아이디어 기획·제시
※ 인공지능, 5G, 사물인터넷, 스마트홈, 스마트자동차, 드론, 소프트웨어 등
※ 생성형 AI 등 AI 기술을 활용한 콘텐츠 제작 및 아이디어 기획도 가능

● 공모 주제
1. 생활 속 활용되고 있는 ICT 표준 소개 콘텐츠 (활용사례)
· 생활 속 ICT 표준을 통한 편익 증진 사례, 표준 부재로 불편한 사례 등
* (예시1) 무선인터넷 Wi-Fi(IEEE 802.11), 영상 전송 Video Codec(ITU-T H.264), 무선기기 연결 Bluetooth(IEEE 802.15.1) 등
* (예시2) 도심 자율주행 배달로봇 서비스를 위한 연동 표준, 농업용 무인항공기 장비 규격 및 운용 요구사항 표준, 웹 콘텐츠 접근성 지침 등
2. 미래 우리를 위한 신규 ICT 표준 아이디어 기획 (아이디어)
· 생활 속 ICT 全 분야 신규 표준화 아이디어 제안
* (예시) 사물인터넷(IoT), 인공지능(AI), 보안, 로봇, 드론, 데이터 등※ 영상 콘텐츠와 아이디어 중 하나 선택하며, 제출형식은 공고문 必 참조하여 제출
※ 생성형 AI 등 AI 기술을 활용한 콘텐츠 제작 및 아이디어 기획도 가능

● 접수 규격
※ 공고문 必 참조
1. 생활 속 활용되고 있는 ICT 표준 소개 영상 콘텐츠 (활용사례)
* 애니메이션, 숏폼, 웹 드라마 등 자유형식
* 파일형식: mp4, avi 등 동영상 파일
* (영상 비율) 가로형 16:9(1920x1080) 또는 세로형 9:16(1080x1920)
* (최적 해상도) FULL HD 이상
* (제한 용량) 500MB 이하
2. 미래 우리를 위한 신규 ICT 표준 아이디어 기획 (아이디어)
* A4 5매 이내 기획서(PDF 파일 제출

● 시상 내역
- 회장상 및 표준총회 의장상 총 3점(총 상금 350만원)
- 최우수상 1점 한국정보통신기술협회장상(200만원)
- 우수상 1점 표준총회의장상 (100만원)
- 장려상 1점 표준총회의장상 (50만원)

● 공모 일정
- 접수기간 : 2025. 09. 01 ~ 09. 15(월) (23시 까지)
- 결과발표 : 2025. 11. (TTA 홈페이지 공지사항 확인)
- 시상식 : 2025.12.05(금) (엘타워 양재)
※ 시상식에는 개인 또는 팀 대표자 한 명 이상 필참해야 합니다. 미참여 시 자동 탈락 조치됩니다.


● 유의 사항
- 공고문 안내를 필히 참고하시어 서식에 맞게 작성해주세요.
- 시상식 일정: 2025녀 12월 5일(금) 서울
※ 시상식에는 개인 또는 팀 대표자 한 명 이상 필참해야 합니다. 미참여 시 자동 탈락 조치됩니다.
- 2022~2023 ICT 표준 챌린지 공모전 수상작을 확인하시어, 중복 제출하지 않도록 해야 합니다.
중복된 아이템(활용사례, 아이디어) 제출 시 자동 탈락 조치됩니다.

● 제출 형식
- 활용사례 : 콘텐츠(영상)
- 아이디어 : A4 5매 이내 기획서

● 평가기준
- 100점 기준으로 서면 심사 진행
* 주제적합성(30), 창의성(20), 활용도(25), 기타(25, 활용-작품의 완성도(기승전결), 아이디어-아이디어의 기대효과))

● 접수 방법
- 이메일 접수 consulting@tta.or.kr
- 공모전 서류 다운로드 → 링크
- 제출 서류 : 응모신청서 1부, 개인정보 수집·이용 및 제3자 제공·초상권 사용동의서 1부, 작품/기획서 1편/부

● 문의 사항
- TTA 표준진흥단(consulting@tta.or.kr, 010-5110-3129, 010-5111-1453)"
